IDTransacción;ClaveFecha;IDCliente;IDProducto;IDTienda;Cantidad;Descuento;MetodoPago
T02586;14/11/2023;C038;P044;S005;1;0.1;Bank Transfer
T02587;28/07/2025;C185;P044;S005;5;0.15;Mobile Money
T02588;28/12/2023;C159;P024;S002;3;0.05;Bank Transfer
T02589;29/06/2025;C134;P017;S003;4;0.15;Credit Card
T02590;13/11/2023;C135;P050;S004;2;0.15;Mobile Money
T02591;9/05/2025;C004;P039;S001;3;0.05;Bank Transfer
T02592;11/02/2024;C053;P006;S002;2;0.1;Cash
T02593;20/08/2024;C167;P035;S002;3;0.15;Mobile Money
T02594;26/05/2024;C146;P012;S001;5;0.05;Credit Card
T02595;24/03/2025;C094;P030;S001;4;0;Bank Transfer
T02596;11/03/2024;C130;P029;S001;3;0;Cash
T02597;13/08/2025;C115;P006;S005;5;0.05;Credit Card
T02598;25/08/2025;C066;P030;S002;2;0.05;Mobile Money
T02599;17/05/2025;C046;P034;S001;5;0.1;Bank Transfer
T02600;11/02/2024;C024;P035;S002;1;0.05;Bank Transfer
T02601;13/07/2025;C016;P028;S002;2;0.05;Mobile Money
T02602;2/10/2023;C119;P043;S001;5;0;Bank Transfer
T02603;23/03/2025;C163;P032;S001;2;0.15;Cash
T02604;15/01/2024;C114;P005;S001;4;0.05;Cash
T02605;12/10/2024;C139;P019;S005;2;0.15;Bank Transfer
T02606;14/07/2024;C146;P040;S001;5;0.15;Cash
T02607;1/12/2024;C185;P034;S004;2;0.15;Cash
T02608;4/11/2024;C065;P037;S004;5;0.1;Mobile Money
T02609;13/12/2023;C162;P049;S002;3;0.15;Bank Transfer
T02610;8/02/2025;C166;P032;S003;3;0.05;Bank Transfer
T02611;6/01/2024;C071;P039;S005;5;0.1;Mobile Money
T02612;26/02/2025;C029;P034;S002;4;0;Bank Transfer
T02613;5/05/2024;C131;P002;S004;4;0.05;Credit Card
T02614;7/05/2024;C017;P043;S004;3;0;Mobile Money
T02615;15/08/2024;C088;P011;S005;2;0.05;Cash
T02616;22/12/2024;C196;P050;S002;2;0.1;Bank Transfer
T02617;3/06/2025;C082;P022;S005;4;0;Bank Transfer
T02618;29/12/2024;C157;P004;S002;5;0.05;Bank Transfer
T02619;22/09/2023;C041;P014;S002;4;0.05;Credit Card
T02620;30/07/2024;C157;P046;S002;3;0.15;Mobile Money
T02621;6/09/2025;C200;P045;S003;2;0.1;Mobile Money
T02622;24/09/2024;C078;P008;S003;2;0.1;Bank Transfer
T02623;1/07/2025;C187;P013;S003;3;0.15;Bank Transfer
T02624;15/08/2025;C109;P030;S005;4;0.15;Cash
T02625;28/05/2024;C196;P005;S004;1;0.15;Bank Transfer
T02626;4/05/2025;C166;P034;S002;4;0.1;Cash
T02627;31/08/2024;C181;P046;S002;2;0.1;Bank Transfer
T02628;3/06/2024;C096;P030;S001;3;0.15;Mobile Money
T02629;21/06/2024;C084;P026;S005;5;0.05;Credit Card
T02630;19/02/2025;C159;P037;S005;4;0.1;Cash
T02631;18/05/2024;C020;P006;S002;2;0.1;Mobile Money
T02632;18/11/2024;C185;P007;S005;4;0;Mobile Money
T02633;16/10/2024;C177;P009;S004;2;0.1;Mobile Money
T02634;25/11/2023;C016;P027;S001;1;0.1;Bank Transfer
T02635;12/06/2024;C138;P034;S003;4;0.1;Cash
T02636;5/10/2023;C121;P034;S002;1;0.1;Mobile Money
T02637;8/04/2024;C039;P027;S002;5;0.1;Credit Card
T02638;24/08/2025;C144;P050;S001;4;0.05;Bank Transfer
T02639;9/10/2024;C147;P014;S005;3;0.1;Cash
T02640;16/09/2023;C036;P024;S001;3;0.1;Mobile Money
T02641;15/03/2025;C192;P008;S002;2;0.1;Mobile Money
T02642;26/11/2024;C059;P018;S004;3;0.1;Credit Card
T02643;26/11/2024;C174;P031;S003;3;0;Credit Card
T02644;26/04/2024;C031;P047;S004;4;0.15;Mobile Money
T02645;8/03/2024;C013;P044;S005;1;0.1;Cash
T02646;10/01/2024;C145;P042;S004;1;0.1;Mobile Money
T02647;3/07/2025;C073;P029;S005;3;0;Cash
T02648;29/07/2025;C145;P023;S001;5;0;Credit Card
T02649;19/03/2025;C132;P012;S001;5;0.15;Credit Card
T02650;10/10/2023;C193;P035;S001;4;0.1;Mobile Money
T02651;18/06/2025;C116;P037;S002;3;0;Credit Card
T02652;15/05/2024;C166;P045;S005;3;0.15;Mobile Money
T02653;25/12/2023;C006;P021;S004;5;0.1;Cash
T02654;22/05/2024;C160;P041;S004;1;0;Credit Card
T02655;30/12/2024;C083;P006;S004;2;0.1;Credit Card
T02656;3/08/2025;C150;P032;S003;5;0.15;Credit Card
T02657;14/03/2025;C198;P013;S005;3;0.05;Credit Card
T02658;18/06/2025;C198;P048;S002;2;0.1;Credit Card
T02659;19/04/2024;C026;P037;S001;5;0;Credit Card
T02660;23/04/2025;C139;P019;S003;1;0.1;Bank Transfer
T02661;28/04/2024;C059;P011;S002;2;0.1;Credit Card
T02662;3/01/2024;C109;P037;S003;2;0.05;Bank Transfer
T02663;17/06/2025;C007;P046;S002;4;0;Mobile Money
T02664;15/11/2024;C007;P046;S004;2;0.15;Cash
T02665;15/05/2025;C115;P008;S004;4;0.05;Credit Card
T02666;29/01/2024;C198;P049;S004;5;0;Cash
T02667;28/12/2023;C045;P037;S005;5;0;Credit Card
T02668;20/05/2024;C194;P015;S002;1;0.15;Bank Transfer
T02669;8/06/2024;C192;P047;S003;4;0.05;Credit Card
T02670;17/12/2023;C024;P001;S005;3;0.15;Bank Transfer
T02671;29/10/2023;C131;P007;S001;4;0;Cash
T02672;6/02/2025;C098;P014;S004;4;0;Bank Transfer
T02673;18/07/2025;C093;P036;S003;1;0.15;Bank Transfer
T02674;12/06/2025;C059;P009;S001;4;0.15;Cash
T02675;13/11/2024;C071;P003;S003;1;0.05;Credit Card
T02676;1/02/2024;C046;P005;S005;1;0.05;Credit Card
T02677;2/07/2025;C036;P018;S004;1;0;Credit Card
T02678;14/09/2023;C190;P003;S003;3;0.15;Credit Card
T02679;16/05/2024;C108;P037;S002;2;0.05;Credit Card
T02680;3/07/2024;C094;P042;S001;2;0;Mobile Money
T02681;22/11/2024;C053;P006;S003;4;0.1;Bank Transfer
T02682;28/06/2024;C160;P001;S003;1;0;Bank Transfer
T02683;26/11/2024;C008;P003;S004;1;0.05;Mobile Money
T02684;3/01/2024;C012;P013;S005;4;0.05;Credit Card
T02685;22/08/2024;C026;P044;S001;3;0.05;Cash
T02686;1/05/2025;C108;P038;S001;1;0.15;Mobile Money
T02687;10/02/2024;C107;P030;S005;4;0.05;Cash
T02688;12/06/2024;C080;P009;S004;4;0.1;Credit Card
T02689;27/07/2025;C083;P004;S005;3;0;Mobile Money
T02690;17/05/2025;C127;P010;S005;2;0.05;Credit Card
T02691;8/07/2025;C132;P023;S002;2;0.05;Cash
T02692;1/01/2025;C191;P044;S001;4;0.1;Cash
T02693;6/01/2024;C064;P050;S002;3;0.05;Bank Transfer
T02694;23/09/2023;C085;P044;S004;5;0.1;Credit Card
T02695;13/05/2025;C084;P028;S004;3;0.05;Cash
T02696;21/06/2024;C192;P042;S004;1;0.05;Credit Card
T02697;4/03/2024;C004;P013;S002;1;0.05;Credit Card
T02698;22/03/2025;C102;P042;S003;1;0.15;Mobile Money
T02699;16/02/2025;C089;P008;S002;5;0.15;Mobile Money
T02700;23/10/2023;C055;P032;S004;5;0.1;Mobile Money
T02701;7/01/2024;C031;P016;S003;5;0.1;Bank Transfer
T02702;4/10/2024;C048;P050;S003;3;0.15;Mobile Money
T02703;16/04/2025;C170;P021;S001;3;0.1;Cash
T02704;3/04/2024;C094;P039;S004;1;0.05;Cash
T02705;13/09/2023;C059;P010;S004;1;0;Bank Transfer
T02706;27/04/2025;C033;P030;S003;3;0.15;Mobile Money
T02707;16/08/2024;C142;P005;S001;5;0.05;Mobile Money
T02708;24/05/2025;C131;P040;S002;2;0.05;Cash
T02709;11/12/2023;C051;P011;S003;5;0.05;Cash
T02710;18/03/2025;C137;P031;S003;5;0.05;Credit Card
T02711;12/10/2023;C096;P018;S002;1;0.05;Credit Card
T02712;8/08/2025;C193;P050;S002;5;0.15;Credit Card
T02713;7/03/2024;C072;P028;S001;4;0.1;Mobile Money
T02714;3/10/2023;C134;P009;S004;4;0.15;Bank Transfer
T02715;5/10/2024;C035;P030;S003;1;0;Bank Transfer
T02716;5/01/2024;C182;P002;S005;3;0.05;Cash
T02717;2/05/2024;C016;P045;S004;2;0.05;Mobile Money
T02718;28/04/2025;C042;P024;S002;4;0.05;Mobile Money
T02719;27/07/2025;C101;P025;S005;2;0.05;Bank Transfer
T02720;30/07/2025;C019;P031;S002;3;0.05;Mobile Money
T02721;26/09/2024;C032;P043;S005;2;0.05;Mobile Money
T02722;31/10/2024;C037;P005;S003;3;0;Cash
T02723;27/08/2025;C134;P006;S003;5;0;Mobile Money
T02724;7/09/2025;C060;P005;S004;3;0;Mobile Money
T02725;7/08/2024;C040;P038;S001;3;0.1;Cash
T02726;27/04/2025;C098;P036;S003;1;0.15;Mobile Money
T02727;22/06/2024;C150;P028;S002;4;0.1;Credit Card
T02728;2/02/2025;C134;P032;S001;1;0.1;Credit Card
T02729;20/08/2025;C171;P012;S004;4;0.15;Cash
T02730;3/02/2025;C164;P038;S001;3;0.1;Bank Transfer
T02731;9/09/2024;C164;P007;S005;3;0.15;Bank Transfer
T02732;1/06/2024;C092;P007;S001;1;0;Mobile Money
T02733;1/06/2024;C063;P012;S005;4;0.05;Mobile Money
T02734;25/03/2025;C171;P045;S003;1;0.15;Mobile Money
T02735;10/07/2024;C156;P031;S005;4;0;Cash
T02736;14/09/2023;C152;P010;S001;5;0;Cash
T02737;2/02/2024;C196;P027;S002;3;0.15;Mobile Money
T02738;1/04/2024;C184;P047;S001;3;0.15;Mobile Money
T02739;4/12/2023;C147;P034;S005;1;0.15;Mobile Money
T02740;20/02/2024;C172;P010;S001;2;0.05;Cash
T02741;29/08/2024;C162;P045;S003;1;0.1;Mobile Money
T02742;4/06/2025;C008;P025;S004;3;0.1;Bank Transfer
T02743;28/12/2024;C091;P022;S002;3;0.15;Cash
T02744;22/02/2024;C084;P017;S004;3;0.05;Credit Card
T02745;30/07/2025;C143;P001;S005;3;0.15;Bank Transfer
T02746;3/10/2024;C200;P001;S002;4;0;Bank Transfer
T02747;22/01/2024;C091;P037;S005;5;0.05;Bank Transfer
T02748;9/02/2025;C079;P023;S001;1;0.15;Bank Transfer
T02749;27/08/2024;C160;P028;S004;2;0.15;Credit Card
T02750;14/01/2024;C068;P041;S004;3;0.1;Mobile Money
T02751;6/07/2024;C093;P042;S002;2;0.1;Cash
T02752;15/12/2024;C029;P001;S002;5;0.1;Bank Transfer
T02753;21/11/2024;C194;P040;S005;5;0.05;Mobile Money
T02754;1/04/2024;C159;P043;S001;2;0;Cash
T02755;10/01/2025;C183;P010;S005;4;0.1;Credit Card
T02756;29/01/2025;C184;P010;S003;5;0.1;Mobile Money
T02757;25/07/2024;C035;P030;S004;1;0.1;Cash
T02758;1/11/2023;C083;P011;S002;4;0;Credit Card
T02759;26/06/2025;C141;P017;S002;3;0;Mobile Money
T02760;8/08/2024;C058;P047;S002;2;0.05;Mobile Money
T02761;30/12/2023;C166;P010;S002;2;0;Bank Transfer
T02762;23/09/2024;C063;P015;S001;5;0.15;Mobile Money
T02763;24/01/2025;C107;P002;S005;5;0.05;Mobile Money
T02764;10/11/2023;C048;P045;S005;5;0.15;Mobile Money
T02765;27/06/2024;C192;P050;S003;3;0.1;Mobile Money
T02766;30/05/2025;C095;P050;S003;2;0.1;Bank Transfer
T02767;22/06/2025;C020;P046;S002;3;0.05;Credit Card
T02768;20/07/2025;C025;P011;S005;4;0.1;Cash
T02769;5/03/2025;C155;P034;S002;3;0.05;Mobile Money
T02770;7/05/2025;C069;P026;S005;1;0.15;Mobile Money
T02771;12/12/2023;C128;P045;S005;4;0;Credit Card
T02772;30/05/2024;C006;P030;S005;4;0;Bank Transfer
T02773;2/11/2023;C123;P036;S002;1;0.1;Cash
T02774;22/01/2024;C185;P003;S003;5;0.1;Cash
T02775;1/07/2025;C183;P039;S005;4;0.15;Credit Card
T02776;23/08/2024;C102;P040;S002;4;0.1;Bank Transfer
T02777;13/08/2024;C085;P043;S002;5;0.15;Credit Card
T02778;1/09/2024;C197;P021;S005;5;0.1;Cash
T02779;7/03/2024;C157;P013;S001;3;0;Cash
T02780;9/08/2024;C158;P041;S001;5;0.15;Credit Card
T02781;2/09/2025;C188;P023;S002;2;0.05;Credit Card
T02782;18/06/2025;C008;P045;S004;1;0.1;Cash
T02783;14/01/2024;C025;P026;S004;5;0.15;Mobile Money
T02784;24/01/2025;C098;P009;S004;2;0.1;Credit Card
T02785;15/02/2024;C025;P010;S003;3;0.05;Mobile Money
T02786;3/10/2024;C065;P045;S004;1;0.05;Bank Transfer
T02787;15/05/2025;C103;P021;S002;2;0.1;Cash
T02788;23/06/2024;C087;P038;S004;1;0.1;Cash
T02789;17/03/2025;C156;P044;S001;5;0;Bank Transfer
T02790;3/11/2023;C025;P023;S002;1;0;Cash
T02791;19/07/2025;C084;P027;S004;3;0;Bank Transfer
T02792;29/09/2024;C018;P033;S002;2;0.15;Credit Card
T02793;25/08/2024;C138;P037;S002;3;0;Credit Card
T02794;4/04/2024;C154;P002;S003;5;0.05;Mobile Money
T02795;26/02/2024;C181;P040;S002;5;0.05;Mobile Money
T02796;15/11/2023;C008;P012;S005;1;0;Bank Transfer
T02797;6/11/2023;C075;P024;S001;3;0.05;Credit Card
T02798;10/12/2023;C026;P028;S004;2;0.05;Bank Transfer
T02799;30/06/2024;C117;P033;S005;4;0.15;Cash
T02800;18/07/2024;C172;P008;S005;1;0.1;Credit Card
T02801;6/02/2024;C094;P046;S002;2;0.15;Credit Card
T02802;23/03/2025;C104;P002;S001;3;0;Mobile Money
T02803;2/01/2024;C169;P028;S005;1;0;Bank Transfer
T02804;17/02/2024;C135;P044;S005;5;0.15;Credit Card
T02805;23/01/2025;C073;P034;S003;2;0.15;Credit Card
T02806;28/06/2024;C075;P021;S004;4;0.15;Mobile Money
T02807;19/06/2024;C022;P020;S004;1;0.15;Cash
T02808;29/01/2024;C083;P026;S005;4;0.15;Bank Transfer
T02809;5/08/2025;C128;P026;S003;1;0;Credit Card
T02810;10/06/2025;C023;P037;S003;5;0.05;Bank Transfer
T02811;18/02/2025;C190;P026;S001;5;0;Cash
T02812;26/06/2024;C078;P042;S004;2;0.1;Cash
T02813;8/02/2025;C176;P020;S004;5;0.05;Bank Transfer
T02814;18/08/2024;C175;P018;S001;2;0;Mobile Money
T02815;26/12/2024;C048;P041;S002;3;0;Credit Card
T02816;20/10/2024;C127;P001;S002;5;0;Cash
T02817;21/12/2024;C098;P043;S002;1;0.1;Cash
T02818;10/05/2024;C062;P002;S003;2;0.15;Credit Card
T02819;20/11/2024;C096;P023;S004;1;0.05;Credit Card
T02820;14/04/2025;C154;P043;S002;5;0.1;Mobile Money
T02821;8/02/2025;C175;P025;S005;3;0.05;Bank Transfer
T02822;3/01/2024;C105;P007;S001;4;0.15;Mobile Money
T02823;11/05/2024;C072;P020;S002;4;0.1;Cash
T02824;1/05/2025;C161;P022;S004;1;0.15;Credit Card
T02825;28/01/2024;C170;P006;S002;1;0;Cash
T02826;15/05/2025;C041;P014;S004;1;0.05;Bank Transfer
T02827;19/11/2023;C043;P017;S003;4;0.1;Bank Transfer
T02828;18/07/2025;C073;P021;S005;3;0;Cash
T02829;16/09/2024;C102;P038;S002;1;0.15;Credit Card
T02830;7/05/2025;C033;P014;S005;1;0.15;Mobile Money
T02831;7/06/2025;C028;P033;S001;2;0;Mobile Money
T02832;29/08/2024;C048;P003;S001;1;0.05;Mobile Money
T02833;2/10/2024;C158;P006;S003;4;0.05;Mobile Money
T02834;18/08/2024;C153;P022;S001;5;0.05;Credit Card
T02835;10/11/2023;C186;P044;S003;1;0;Credit Card
T02836;8/03/2024;C088;P034;S003;2;0.1;Mobile Money
T02837;26/02/2025;C052;P031;S001;4;0.15;Credit Card
T02838;22/02/2025;C075;P048;S005;1;0.05;Credit Card
T02839;21/12/2023;C161;P026;S002;3;0.15;Cash
T02840;29/01/2025;C113;P038;S001;2;0.1;Credit Card
T02841;20/08/2025;C037;P027;S005;3;0;Cash
T02842;12/03/2025;C176;P017;S001;4;0;Credit Card
T02843;10/09/2024;C186;P002;S003;3;0;Credit Card
T02844;7/03/2024;C027;P011;S002;1;0.15;Cash
T02845;20/06/2024;C145;P007;S001;4;0;Credit Card
T02846;15/07/2024;C196;P028;S001;5;0;Cash
T02847;24/08/2024;C167;P006;S004;5;0.15;Bank Transfer
T02848;1/04/2025;C176;P032;S005;4;0.15;Credit Card
T02849;30/05/2025;C175;P017;S004;5;0.1;Bank Transfer
T02850;8/10/2024;C163;P010;S004;4;0.05;Mobile Money
T02851;7/09/2024;C138;P008;S003;2;0.05;Bank Transfer
T02852;15/10/2023;C164;P014;S002;4;0.1;Credit Card
T02853;18/01/2024;C095;P030;S001;4;0.1;Credit Card
T02854;30/01/2025;C011;P022;S004;4;0.05;Mobile Money
T02855;1/07/2024;C033;P025;S003;2;0.15;Mobile Money
T02856;6/08/2024;C107;P011;S004;4;0.15;Mobile Money
T02857;1/11/2024;C119;P049;S003;3;0.1;Mobile Money
T02858;1/01/2024;C035;P039;S005;2;0.05;Credit Card
T02859;25/06/2025;C183;P021;S002;5;0.05;Bank Transfer
T02860;7/07/2025;C119;P004;S005;4;0.1;Bank Transfer
T02861;22/06/2024;C055;P036;S004;2;0.15;Cash
T02862;28/08/2024;C139;P021;S004;3;0.15;Cash
T02863;2/06/2025;C052;P012;S002;3;0.05;Mobile Money
T02864;17/01/2025;C133;P031;S004;2;0.15;Cash
T02865;26/02/2025;C178;P046;S002;4;0.05;Bank Transfer
T02866;14/11/2023;C191;P012;S005;2;0.15;Credit Card
T02867;25/12/2023;C039;P010;S004;3;0.15;Credit Card
T02868;3/05/2024;C190;P021;S002;4;0.1;Cash
T02869;2/06/2024;C174;P004;S001;1;0;Cash
T02870;31/03/2024;C003;P005;S001;3;0;Bank Transfer
T02871;7/02/2024;C092;P012;S002;2;0.05;Bank Transfer
T02872;6/06/2024;C017;P044;S003;5;0.1;Mobile Money
T02873;11/03/2024;C122;P029;S003;2;0.1;Bank Transfer
T02874;19/12/2023;C026;P024;S005;2;0.05;Credit Card
T02875;24/10/2024;C107;P043;S001;5;0.15;Credit Card
T02876;27/12/2024;C144;P041;S005;4;0.1;Credit Card
T02877;5/10/2024;C030;P023;S002;4;0;Cash
T02878;13/06/2025;C035;P018;S004;4;0.15;Mobile Money
T02879;23/08/2025;C044;P031;S001;5;0.1;Mobile Money
T02880;28/07/2025;C150;P002;S005;2;0.15;Cash
T02881;30/11/2024;C126;P033;S005;3;0.1;Cash
T02882;22/06/2024;C095;P046;S001;2;0.05;Bank Transfer
T02883;17/05/2025;C174;P048;S004;2;0;Credit Card
T02884;6/04/2024;C163;P030;S003;3;0;Bank Transfer
T02885;28/12/2023;C155;P025;S004;1;0.15;Credit Card
T02886;14/09/2023;C094;P004;S003;2;0.1;Cash
T02887;14/04/2024;C126;P047;S003;2;0;Credit Card
T02888;1/04/2025;C180;P038;S003;3;0.15;Mobile Money
T02889;30/01/2025;C087;P016;S001;3;0.15;Cash
T02890;7/11/2024;C086;P039;S005;1;0.05;Cash
T02891;11/06/2024;C189;P015;S005;1;0.1;Mobile Money
T02892;28/04/2025;C052;P010;S004;4;0.15;Cash
T02893;15/05/2025;C178;P002;S003;4;0.1;Bank Transfer
T02894;15/01/2024;C132;P011;S004;4;0.1;Credit Card
T02895;30/01/2024;C089;P021;S003;5;0.05;Mobile Money
T02896;18/12/2024;C073;P019;S003;1;0.15;Cash
T02897;5/04/2024;C171;P014;S003;5;0;Cash
T02898;13/10/2024;C033;P008;S001;2;0;Credit Card
T02899;18/05/2024;C096;P033;S001;2;0.05;Cash
T02900;2/12/2023;C020;P025;S001;1;0.1;Cash
T02901;2/07/2025;C040;P021;S005;4;0.1;Cash
T02902;15/05/2025;C157;P049;S001;1;0.05;Credit Card
T02903;2/03/2025;C191;P038;S001;2;0;Cash
T02904;1/04/2024;C001;P025;S004;2;0.05;Cash
T02905;17/11/2024;C184;P035;S001;4;0.1;Credit Card
T02906;9/02/2025;C122;P022;S002;4;0.05;Mobile Money
T02907;20/09/2024;C074;P008;S005;1;0.15;Credit Card
T02908;10/04/2024;C130;P037;S001;1;0.05;Credit Card
T02909;14/03/2025;C068;P009;S002;5;0.05;Cash
T02910;7/08/2025;C180;P008;S001;2;0.05;Bank Transfer
T02911;23/06/2024;C194;P028;S002;2;0.15;Bank Transfer
T02912;5/07/2024;C154;P028;S004;5;0.1;Credit Card
T02913;9/09/2025;C110;P049;S003;3;0.05;Cash
T02914;21/03/2024;C168;P004;S003;3;0.05;Cash
T02915;27/06/2024;C016;P002;S001;4;0.1;Cash
T02916;7/12/2023;C159;P002;S004;1;0.15;Cash
T02917;7/10/2024;C191;P035;S001;3;0.1;Cash
T02918;18/06/2025;C146;P023;S003;3;0.15;Bank Transfer
T02919;20/01/2024;C191;P037;S004;3;0.15;Bank Transfer
T02920;20/02/2025;C196;P042;S004;3;0.05;Credit Card
T02921;22/06/2025;C151;P018;S002;1;0.1;Mobile Money
T02922;6/09/2024;C120;P048;S004;3;0.15;Mobile Money
T02923;9/01/2025;C119;P023;S004;2;0.05;Mobile Money
T02924;14/01/2025;C108;P034;S001;2;0.1;Mobile Money
T02925;5/03/2025;C162;P041;S002;4;0.1;Cash
T02926;16/08/2024;C112;P014;S002;2;0.05;Credit Card
T02927;18/03/2024;C025;P014;S001;4;0.15;Credit Card
T02928;26/05/2024;C070;P020;S003;2;0;Mobile Money
T02929;13/12/2023;C101;P008;S002;3;0.1;Credit Card
T02930;19/12/2023;C049;P001;S004;5;0.15;Mobile Money
T02931;9/10/2023;C112;P007;S002;4;0;Bank Transfer
T02932;5/05/2024;C028;P008;S001;3;0.15;Bank Transfer
T02933;6/05/2024;C037;P030;S002;5;0.15;Credit Card
T02934;15/07/2024;C107;P013;S004;1;0.1;Credit Card
T02935;14/10/2024;C087;P031;S003;5;0.15;Cash
T02936;24/04/2024;C154;P023;S002;5;0.1;Bank Transfer
T02937;19/04/2024;C186;P026;S003;2;0.1;Mobile Money
T02938;20/06/2024;C017;P028;S001;4;0.1;Mobile Money
T02939;22/12/2023;C064;P038;S002;3;0.05;Bank Transfer
T02940;21/02/2024;C163;P044;S004;3;0.1;Bank Transfer
T02941;1/08/2025;C179;P009;S002;2;0.1;Credit Card
T02942;24/10/2023;C182;P026;S005;5;0.05;Credit Card
T02943;10/01/2024;C126;P016;S005;4;0;Bank Transfer
T02944;25/06/2024;C131;P029;S001;4;0.05;Bank Transfer
T02945;23/01/2025;C021;P031;S005;4;0.15;Bank Transfer
T02946;23/12/2023;C018;P043;S004;4;0.05;Bank Transfer
T02947;12/10/2023;C183;P019;S002;3;0;Mobile Money
T02948;23/03/2024;C064;P001;S002;1;0.1;Bank Transfer
T02949;28/12/2023;C159;P016;S004;5;0.05;Bank Transfer
T02950;4/08/2024;C082;P045;S004;3;0.05;Credit Card
T02951;20/01/2024;C153;P038;S005;1;0.1;Cash
T02952;21/04/2025;C189;P033;S002;5;0.1;Credit Card
T02953;18/03/2025;C097;P017;S004;1;0.1;Bank Transfer
T02954;2/04/2024;C053;P021;S002;3;0;Cash
T02955;10/01/2024;C167;P013;S004;1;0.1;Mobile Money
T02956;21/12/2024;C199;P035;S002;4;0.15;Credit Card
T02957;28/07/2024;C153;P019;S004;3;0;Bank Transfer
T02958;5/12/2024;C117;P027;S003;2;0.15;Bank Transfer
T02959;23/07/2025;C042;P034;S005;2;0.1;Cash
T02960;22/09/2024;C032;P037;S001;3;0.15;Bank Transfer
T02961;3/12/2024;C037;P036;S003;4;0;Mobile Money
T02962;10/09/2024;C166;P038;S003;4;0.05;Bank Transfer
T02963;19/05/2025;C157;P027;S001;3;0.1;Cash
T02964;15/04/2024;C131;P018;S001;2;0.15;Cash
T02965;10/12/2024;C018;P045;S002;2;0;Credit Card
T02966;7/08/2025;C183;P013;S002;1;0.1;Bank Transfer
T02967;24/09/2024;C087;P035;S001;4;0.1;Cash
T02968;4/12/2023;C127;P029;S004;5;0;Mobile Money
T02969;8/09/2024;C165;P034;S004;2;0;Credit Card
T02970;7/10/2023;C115;P031;S002;1;0.1;Credit Card
T02971;3/04/2025;C062;P047;S001;5;0;Cash
T02972;25/11/2024;C165;P009;S002;4;0;Cash
T02973;23/02/2024;C057;P017;S002;2;0.05;Bank Transfer
T02974;15/10/2023;C083;P001;S004;4;0;Bank Transfer
T02975;21/08/2024;C127;P011;S001;4;0;Cash
T02976;11/04/2025;C052;P002;S005;1;0.05;Credit Card
T02977;1/08/2024;C150;P012;S004;1;0.1;Cash
T02978;5/05/2025;C149;P024;S003;5;0.05;Mobile Money
T02979;11/06/2024;C055;P007;S002;5;0;Bank Transfer
T02980;13/10/2023;C069;P033;S005;3;0.15;Credit Card
T02981;11/08/2024;C052;P041;S005;3;0.1;Credit Card
T02982;1/02/2024;C084;P050;S003;4;0;Bank Transfer
T02983;1/07/2025;C116;P032;S001;4;0.15;Credit Card
T02984;3/06/2024;C048;P014;S001;1;0.15;Cash
T02985;3/09/2025;C191;P023;S002;2;0.1;Credit Card
T02986;20/05/2025;C152;P043;S003;3;0.15;Cash
T02987;16/11/2024;C166;P035;S002;5;0.1;Credit Card
T02988;4/05/2025;C131;P039;S001;3;0;Credit Card
T02989;7/09/2025;C047;P022;S003;2;0.15;Mobile Money
T02990;31/05/2025;C185;P037;S003;4;0.15;Credit Card
T02991;22/04/2025;C126;P040;S004;5;0.1;Credit Card
T02992;18/02/2025;C020;P016;S005;1;0;Cash
T02993;4/10/2024;C159;P047;S001;1;0.1;Cash
T02994;17/12/2024;C078;P030;S004;4;0.05;Cash
T02995;25/02/2025;C014;P035;S003;2;0.05;Mobile Money
T02996;28/05/2025;C190;P016;S003;1;0.1;Mobile Money
T02997;13/06/2024;C168;P033;S001;3;0;Cash
T02998;16/06/2025;C078;P005;S002;3;0.15;Credit Card
T02999;24/08/2024;C031;P030;S001;4;0.05;Cash
T03000;22/01/2025;C029;P022;S001;2;0.15;Bank Transfer
T03001;12/06/2024;C070;P027;S001;5;0.15;Cash
T03002;14/01/2025;C188;P025;S002;2;0;Mobile Money
T03003;31/12/2023;C174;P009;S004;1;0;Mobile Money
T03004;15/01/2024;C111;P023;S004;4;0.05;Cash
T03005;27/01/2024;C148;P014;S001;1;0.1;Bank Transfer
T03006;13/12/2023;C185;P049;S004;2;0.1;Cash
T03007;29/06/2025;C172;P016;S003;2;0.05;Mobile Money
T03008;31/12/2024;C001;P030;S001;5;0.15;Mobile Money
T03009;19/05/2025;C060;P027;S001;3;0.1;Cash
T03010;17/11/2023;C154;P007;S003;4;0.15;Credit Card
T03011;29/02/2024;C096;P014;S003;5;0.05;Bank Transfer
T03012;26/06/2025;C189;P023;S003;4;0.05;Mobile Money
T03013;3/10/2023;C096;P029;S004;3;0.1;Credit Card
T03014;7/03/2024;C173;P012;S004;5;0.15;Bank Transfer
T03015;18/11/2023;C111;P031;S001;5;0.1;Credit Card
T03016;8/01/2024;C086;P017;S003;4;0.15;Credit Card
T03017;23/06/2024;C011;P009;S003;5;0.05;Bank Transfer
T03018;23/03/2024;C139;P029;S002;5;0.05;Credit Card
T03019;4/11/2023;C178;P050;S004;1;0.15;Cash
T03020;9/10/2024;C129;P020;S005;1;0;Cash
T03021;16/02/2024;C066;P038;S005;2;0.05;Bank Transfer
T03022;30/01/2025;C126;P015;S001;3;0.1;Mobile Money
T03023;29/07/2025;C134;P029;S004;2;0.1;Mobile Money
